location.,region.,country.,timezone id.,localtime.,year.,month.,day.,hour.,minute.,is day or night.,condition.,temperature (f).,humidity (%).,feelslike (f).,precipitation (in).,wind speed (mph).,wind pressure (in).,gust (mph).,wind direction.
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 12:00:00.000,2024,10,21,12,0,Day,Partly cloudy,89.6,63,96.5,0,4.7,29.91,5.4,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 12:46:00.000,2024,10,21,12,46,Day,Partly cloudy,91.6,59,100.7,0,4.7,29.88,5.4,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 13:00:00.000,2024,10,21,13,0,Day,Partly cloudy,91.9,59,99.9,0,4.9,29.88,5.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 13:20:00.000,2024,10,21,13,20,Day,Partly cloudy,93.6,53,103.4,0,4.9,29.85,5.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 13:39:00.000,2024,10,21,13,39,Day,Partly cloudy,93.7,53,103.9,0,4.9,29.85,5.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 13:59:00.000,2024,10,21,13,59,Day,Partly cloudy,93.2,53,102.6,0,4.9,29.85,5.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 14:19:00.000,2024,10,21,14,19,Day,Partly cloudy,92.1,63,99.2,0,5.8,29.8,6.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 14:40:00.000,2024,10,21,14,40,Day,Partly cloudy,91.8,63,98.5,0,5.8,29.8,6.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 15:00:00.000,2024,10,21,15,0,Day,Partly cloudy,95.7,50,106.3,0,6.7,29.8,7.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 15:20:00.000,2024,10,21,15,20,Day,Partly cloudy,95.4,50,105.4,0,6.7,29.77,7.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 15:40:00.000,2024,10,21,15,40,Day,Partly cloudy,95.2,50,105,0,6.7,29.77,7.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 15:59:00.000,2024,10,21,15,59,Day,Partly cloudy,95.5,50,105.9,0,6.7,29.77,7.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 16:20:00.000,2024,10,21,16,20,Day,Partly cloudy,91.9,67,99.2,0,7.4,29.74,8.5,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 16:40:00.000,2024,10,21,16,40,Day,Partly cloudy,91.4,67,98.1,0,7.4,29.74,8.5,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 17:00:00.000,2024,10,21,17,0,Day,Partly cloudy,93.6,56,102.6,0,7.4,29.74,8.5,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 17:19:00.000,2024,10,21,17,19,Day,Partly cloudy,91.9,59,102,0,7.8,29.74,9,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 17:40:00.000,2024,10,21,17,40,Day,Partly cloudy,91.8,59,101.6,0,7.8,29.74,9,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 18:00:00.000,2024,10,21,18,0,Day,Partly cloudy,91.6,59,101.2,0,7.8,29.74,9,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 18:19:00.000,2024,10,21,18,19,Day,Patchy rain nearby,85.7,68,93.5,0,6.7,29.78,8.2,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 18:40:00.000,2024,10,21,18,40,Day,Patchy rain nearby,85.7,68,93.5,0,6.7,29.78,8.2,W
