location.,region.,country.,timezone id.,localtime.,year.,month.,day.,hour.,minute.,is day or night.,condition.,temperature (c).,humidity (%).,feelslike (c).,precipitation (mm).,wind speed (kph).,wind pressure (mb).,gust (kph).,wind direction.
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 12:00:00.000,2024,10,21,12,0,Day,Partly cloudy,32,63,35.8,0,7.6,1013,8.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 12:46:00.000,2024,10,21,12,46,Day,Partly cloudy,33.1,59,38.2,0,7.6,1012,8.7,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 13:00:00.000,2024,10,21,13,0,Day,Partly cloudy,33.3,59,37.7,0.01,7.9,1012,9.1,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 13:20:00.000,2024,10,21,13,20,Day,Partly cloudy,34.2,53,39.7,0.01,7.9,1011,9.1,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 13:39:00.000,2024,10,21,13,39,Day,Partly cloudy,34.3,53,39.9,0.01,7.9,1011,9.1,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 13:59:00.000,2024,10,21,13,59,Day,Partly cloudy,34,53,39.2,0.01,7.9,1011,9.1,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 14:19:00.000,2024,10,21,14,19,Day,Partly cloudy,33.4,63,37.3,0,9.4,1009,10.8,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 14:40:00.000,2024,10,21,14,40,Day,Partly cloudy,33.2,63,36.9,0,9.4,1009,10.8,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 15:00:00.000,2024,10,21,15,0,Day,Partly cloudy,35.4,50,41.3,0,10.8,1009,12.4,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 15:20:00.000,2024,10,21,15,20,Day,Partly cloudy,35.2,50,40.8,0,10.8,1008,12.4,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 15:40:00.000,2024,10,21,15,40,Day,Partly cloudy,35.1,50,40.6,0,10.8,1008,12.4,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 15:59:00.000,2024,10,21,15,59,Day,Partly cloudy,35.3,50,41,0,10.8,1008,12.4,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 16:20:00.000,2024,10,21,16,20,Day,Partly cloudy,33.3,67,37.3,0.01,11.9,1007,13.7,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 16:40:00.000,2024,10,21,16,40,Day,Partly cloudy,33,67,36.7,0.01,11.9,1007,13.7,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 17:00:00.000,2024,10,21,17,0,Day,Partly cloudy,34.2,56,39.2,0.01,11.9,1007,13.7,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 17:19:00.000,2024,10,21,17,19,Day,Partly cloudy,33.3,59,38.9,0,12.6,1007,14.5,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 17:40:00.000,2024,10,21,17,40,Day,Partly cloudy,33.2,59,38.7,0,12.6,1007,14.5,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 18:00:00.000,2024,10,21,18,0,Day,Partly cloudy,33.1,59,38.4,0,12.6,1007,14.5,WSW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 18:19:00.000,2024,10,21,18,19,Day,Patchy rain nearby,29.8,68,34.1,0.03,10.8,1009,13.2,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 18:40:00.000,2024,10,21,18,40,Day,Patchy rain nearby,29.8,68,34.1,0.03,10.8,1009,13.2,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 18:59:00.000,2024,10,21,18,59,Night,Patchy rain nearby,29.6,69,33.8,0.01,11.9,1008,14.6,W
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 19:19:00.000,2024,10,21,19,19,Night,Patchy rain nearby,27.3,79,30.7,0.17,7.6,1009,11.6,WNW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 19:39:00.000,2024,10,21,19,39,Night,Patchy rain nearby,27.3,79,30.7,0.17,7.6,1009,11.6,WNW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 20:00:00.000,2024,10,21,20,0,Night,Partly cloudy,28.2,84,32.5,0.17,7.6,1008,11.6,WNW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 20:20:00.000,2024,10,21,20,20,Night,Partly cloudy,28.4,84,33.3,0.02,5,1009,7.9,NW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 20:39:00.000,2024,10,21,20,39,Night,Partly cloudy,28.1,84,32.6,0.02,5,1009,7.9,NW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 20:59:00.000,2024,10,21,20,59,Night,Partly cloudy,27.3,89,30.9,0.02,5,1009,7.9,NW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 21:19:00.000,2024,10,21,21,19,Night,Partly cloudy,27,89,30.5,0.21,4.3,1010,7.1,NNW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 21:39:00.000,2024,10,21,21,39,Night,Partly cloudy,27.2,89,30.9,0.21,4.3,1010,7.1,NNW
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 22:00:00.000,2024,10,21,22,0,Night,Partly cloudy,27.4,89,31.4,0,4,1010,6.6,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 22:20:00.000,2024,10,21,22,20,Night,Partly cloudy,27.2,89,31,0,4,1011,6.6,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 22:39:00.000,2024,10,21,22,39,Night,Partly cloudy,27,89,30.6,0,4,1011,6.6,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 23:00:00.000,2024,10,21,23,0,Night,Partly cloudy,27.1,89,30.8,0,4,1011,6.6,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 23:24:00.000,2024,10,21,23,24,Night,Partly cloudy,27.3,89,31.4,0,3.6,1011,5.7,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-21 23:40:00.000,2024,10,21,23,40,Night,Partly cloudy,27.2,89,31.2,0,3.6,1011,5.7,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-22 00:05:00.000,2024,10,22,0,5,Night,Partly Cloudy,24.7,88,27.1,0,3.6,1012,6.6,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-22 00:25:00.000,2024,10,22,0,25,Night,Partly Cloudy,24.7,88,27.1,0,3.6,1012,6.6,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-22 00:40:00.000,2024,10,22,0,40,Night,Partly Cloudy,24.7,88,27.1,0,3.6,1012,6.6,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-22 01:19:00.000,2024,10,22,1,19,Night,Partly Cloudy,25,85,27.3,0,4.3,1011,8.1,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-22 01:40:00.000,2024,10,22,1,40,Night,Partly Cloudy,25,85,27.3,0,4.3,1011,8.1,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-22 01:59:00.000,2024,10,22,1,59,Night,Partly Cloudy,25,85,27.3,0,4.3,1011,8.1,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-22 02:20:00.000,2024,10,22,2,20,Night,Partly Cloudy,24.7,86,27,0,4.7,1011,8.7,N
Kuala Lumpur,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,2024-10-22 02:40:00.000,2024,10,22,2,40,Night,Partly Cloudy,24.7,86,27,0,4.7,1011,8.7,N
